chpter,tumour type,option,,sctid,,ptsctid,,,,,,,,,,,,,,,,,,,,,,,
12.1,cancer of maxillary sinus,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
12.1,cancer of maxillary sinus,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
12.1,cancer of maxillary sinus,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
12.1,cancer of maxillary sinus,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
12.1,cancer of maxillary sinus,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
12.2,cancer of nasal cavity or ethmoid sinus,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
12.2,cancer of nasal cavity or ethmoid sinus,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
12.2,cancer of nasal cavity or ethmoid sinus,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
12.2,cancer of nasal cavity or ethmoid sinus,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
12.2,cancer of nasal cavity or ethmoid sinus,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
12.2,cancer of nasal cavity or ethmoid sinus,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
12.2,cancer of nasal cavity or ethmoid sinus,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
12.2,cancer of nasal cavity or ethmoid sinus,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
13.1,carcinoma of supraglottis,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
13.1,carcinoma of supraglottis,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
13.1,carcinoma of supraglottis,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
13.1,carcinoma of supraglottis,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
13.1,carcinoma of supraglottis,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
13.1,carcinoma of supraglottis,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
13.1,carcinoma of supraglottis,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
13.1,carcinoma of supraglottis,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
13.2,carcinoma of glottis,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
13.3,carcinoma of subglottis,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
13.3,carcinoma of subglottis,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
13.3,carcinoma of subglottis,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
13.3,carcinoma of subglottis,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
13.3,carcinoma of subglottis,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
13.3,carcinoma of subglottis,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
13.3,carcinoma of subglottis,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
13.3,carcinoma of subglottis,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
14,melanoma of mucosa of head or neck,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
14,melanoma of mucosa of head or neck,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
14,melanoma of mucosa of head or neck,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
14,melanoma of mucosa of head or neck,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
15,cutaneous carcinoma of head or neck,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
15,cutaneous carcinoma of head or neck,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
15,cutaneous carcinoma of head or neck,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
15,cutaneous carcinoma of head or neck,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
15,cutaneous carcinoma of head or neck,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
15,cutaneous carcinoma of head or neck,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
15,cutaneous carcinoma of head or neck,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
15,cutaneous carcinoma of head or neck,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
16.1,squamous cell carcinoma of esophagus or esophagogastric junction,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
16.2,adenocarcinoma of esophagus or esophagogastric junction,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cT3,American Joint Committee on Cancer cT3 (qualifier value),;'],cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
16.3,other cancer of esophagus or esophagogastric junction,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
17,carcinoma of stomach,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
18.1,adenocarcinoma of small intestine,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
18.1,adenocarcinoma of small intestine,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
18.1,adenocarcinoma of small intestine,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
18.1,adenocarcinoma of small intestine,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
18.1,adenocarcinoma of small intestine,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
18.1,adenocarcinoma of small intestine,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
18.1,adenocarcinoma of small intestine,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
18.1,adenocarcinoma of small intestine,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
18.1,adenocarcinoma of small intestine,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
18.2,other carcinoma of small intestine,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
18.2,other carcinoma of small intestine,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
18.2,other carcinoma of small intestine,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
18.2,other carcinoma of small intestine,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
18.2,other carcinoma of small intestine,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
18.2,other carcinoma of small intestine,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
18.2,other carcinoma of small intestine,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
18.2,other carcinoma of small intestine,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
18.2,other carcinoma of small intestine,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cTis(LAMN),American Joint Committee on Cancer cTis(LAMN) (qualifier value),1228887004,cTis(LAMN),5063620015,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
